Algoritmo,Versao,Threads,Tamanho,Tipo,Amostra,Tempo_ms
Bubble,Serial,1,1000,Aleatorio,1,5.6855
Bubble,Paralelo,1,1000,Aleatorio,1,80.3617
Bubble,Paralelo,2,1000,Aleatorio,1,1.2759
Bubble,Paralelo,4,1000,Aleatorio,1,3.7237
Bubble,Paralelo,8,1000,Aleatorio,1,4.8708
Selection,Serial,1,1000,Aleatorio,1,3.0365
Selection,Paralelo,1,1000,Aleatorio,1,2.5602
Selection,Paralelo,2,1000,Aleatorio,1,2.4447
Selection,Paralelo,4,1000,Aleatorio,1,3.0271
Selection,Paralelo,8,1000,Aleatorio,1,3.7077
Insertion,Serial,1,1000,Aleatorio,1,2.4417
Insertion,Paralelo,1,1000,Aleatorio,1,1.3901
Insertion,Paralelo,2,1000,Aleatorio,1,1.6876
Insertion,Paralelo,4,1000,Aleatorio,1,1.7945
Insertion,Paralelo,8,1000,Aleatorio,1,4.679
Merge,Serial,1,1000,Aleatorio,1,1.2252
Merge,Paralelo,1,1000,Aleatorio,1,0.8605
Merge,Paralelo,2,1000,Aleatorio,1,1.1824
Merge,Paralelo,4,1000,Aleatorio,1,9.8645
Merge,Paralelo,8,1000,Aleatorio,1,15.6716
Bubble,Serial,1,1000,Aleatorio,2,2.1596
Bubble,Paralelo,1,1000,Aleatorio,2,2.5593
Bubble,Paralelo,2,1000,Aleatorio,2,1.6371
Bubble,Paralelo,4,1000,Aleatorio,2,1.8287
Bubble,Paralelo,8,1000,Aleatorio,2,3.1582
Selection,Serial,1,1000,Aleatorio,2,1.1115
Selection,Paralelo,1,1000,Aleatorio,2,2.7483
Selection,Paralelo,2,1000,Aleatorio,2,1.0388
Selection,Paralelo,4,1000,Aleatorio,2,1.0538
Selection,Paralelo,8,1000,Aleatorio,2,3.6211
Insertion,Serial,1,1000,Aleatorio,2,1.3598
Insertion,Paralelo,1,1000,Aleatorio,2,4.7399
Insertion,Paralelo,2,1000,Aleatorio,2,2.8079
Insertion,Paralelo,4,1000,Aleatorio,2,2.6078
Insertion,Paralelo,8,1000,Aleatorio,2,1.7524
Merge,Serial,1,1000,Aleatorio,2,0.7213
Merge,Paralelo,1,1000,Aleatorio,2,0.7335
Merge,Paralelo,2,1000,Aleatorio,2,0.5362
Merge,Paralelo,4,1000,Aleatorio,2,1.7551
Merge,Paralelo,8,1000,Aleatorio,2,1.9122
Bubble,Serial,1,1000,Aleatorio,3,1.146
Bubble,Paralelo,1,1000,Aleatorio,3,3.5746
Bubble,Paralelo,2,1000,Aleatorio,3,2.3726
Bubble,Paralelo,4,1000,Aleatorio,3,3.8817
Bubble,Paralelo,8,1000,Aleatorio,3,2.0225
Selection,Serial,1,1000,Aleatorio,3,0.3968
Selection,Paralelo,1,1000,Aleatorio,3,0.735
Selection,Paralelo,2,1000,Aleatorio,3,0.5889
Selection,Paralelo,4,1000,Aleatorio,3,5.4745
Selection,Paralelo,8,1000,Aleatorio,3,2.001
Insertion,Serial,1,1000,Aleatorio,3,2.1089
Insertion,Paralelo,1,1000,Aleatorio,3,0.8867
Insertion,Paralelo,2,1000,Aleatorio,3,0.6667
Insertion,Paralelo,4,1000,Aleatorio,3,0.9828
Insertion,Paralelo,8,1000,Aleatorio,3,1.8231
Merge,Serial,1,1000,Aleatorio,3,0.1977
Merge,Paralelo,1,1000,Aleatorio,3,6.0486
Merge,Paralelo,2,1000,Aleatorio,3,3.8975
Merge,Paralelo,4,1000,Aleatorio,3,3.0649
Merge,Paralelo,8,1000,Aleatorio,3,1.7203
Bubble,Serial,1,1000,Aleatorio,4,1.3383
Bubble,Paralelo,1,1000,Aleatorio,4,1.5257
Bubble,Paralelo,2,1000,Aleatorio,4,2.495
Bubble,Paralelo,4,1000,Aleatorio,4,3.5078
Bubble,Paralelo,8,1000,Aleatorio,4,2.904
Selection,Serial,1,1000,Aleatorio,4,0.6643
Selection,Paralelo,1,1000,Aleatorio,4,1.4706
Selection,Paralelo,2,1000,Aleatorio,4,0.6541
Selection,Paralelo,4,1000,Aleatorio,4,0.9153
Selection,Paralelo,8,1000,Aleatorio,4,5.0486
Insertion,Serial,1,1000,Aleatorio,4,0.3695
Insertion,Paralelo,1,1000,Aleatorio,4,0.8653
Insertion,Paralelo,2,1000,Aleatorio,4,0.9467
Insertion,Paralelo,4,1000,Aleatorio,4,0.8344
Insertion,Paralelo,8,1000,Aleatorio,4,8.8651
Merge,Serial,1,1000,Aleatorio,4,0.2129
Merge,Paralelo,1,1000,Aleatorio,4,0.5837
